,SubjID,h1_demo_age_nontrad1,h1_demo_gender_male1,h1_demo_ethn_Lat1,h1_demo_ethn_Afr1,h1_demo_ethn_Asn1,h1_demo_ethn_Euro1,h1_demo_ethn_MENA1,h1_demo_ethn_Other1,h1_demo_parents_y_1,h1_demo_addl_lang_EngOther1,h1_demo_first_semest1,h1_regents_avg,h1_ESSES_avg,h1_textbook_y_1,h1_blackboard_y_1,synchronous1,section,HUMAN_attn,HUMAN_work,HUMAN_course,HUMAN_mental,HUMAN_sleep,HUMAN_family,HUMAN_tech,HUMAN_instr,HUMAN_disrupt,Attrition,Section.Type,GPA,h1_ESSES_Read_1,h1_ESSES_Read_2,h1_ESSES_Read_3,h1_ESSES_Read_4_reverse,h1_ESSES_Read_avg,h1_ESSES_Research_1,h1_ESSES_Research_2,h1_ESSES_Research_3,h1_ESSES_Research_4_reverse,h1_ESSES_Research_5,h1_ESSES_Research_avg,h1_ESSES_IL_1,h1_ESSES_IL_2_reverse,h1_ESSES_IL_3_reverse,h1_ESSES_IL_4,h1_ESSES_IL_avg,h1_ESSES_Tech_1,h1_ESSES_Tech_2,h1_ESSES_Tech_3_reverse,h1_ESSES_Tech_4,h1_ESSES_Tech_5,h1_ESSES_Tech_avg,h1_regents_correct1_1,h1_regents_correct1_2,h1_regents_correct1_3,h1_regents_correct1_4,h1_regents_correct1_5,h1_regents_correct1_6
30,SG3299,0,1,0,1,0,0,0,0,1,0,0,0.333333333,4.055555556,0,1,1,SG,0,0,0,0,0,0,1,0,0,0,regular,4,5,5,5,2,4.25,4,4,5,3,5,4.2,4,3,3,5,3.75,5,4,3,5,3,4,0,1,1,0,0,0
31,SG6740,0,0,0,0,0,1,0,0,0,0,0,0.833333333,3.555555556,1,1,1,SG,0,0,0,1,0,0,0,1,1,0,regular,4,4,4,3,2,3.25,4,4,3,3,2,3.2,5,4,3,4,4,4,4,2,5,4,3.8,1,1,1,1,0,1
32,SG8202,0,0,1,0,0,1,0,0,0,0,0,0.666666667,3.888888889,1,1,1,SG,0,0,0,0,0,0,1,1,0,0,regular,4,5,5,4,4,4.5,2,3,4,3,4,3.2,4,4,4,3,3.75,4,5,4,5,3,4.2,0,1,1,1,0,1
33,SG8211,0,0,1,0,0,0,0,0,1,1,0,0.833333333,3.777777778,1,1,1,SG,0,0,0,0,0,1,1,0,0,1,regular,NA,5,4,4,3,4,4,4,3,4,3,3.6,5,3,3,4,3.75,4,3,3,5,4,3.8,1,1,1,1,0,1
34,SG4728,0,0,1,0,0,1,0,0,0,1,0,0.5,3.722222222,0,1,1,SG,0,1,0,0,0,0,1,1,0,1,regular,NA,6,6,4,4,5,3,3,3,2,3,2.8,5,2,3,3,3.25,5,4,1,5,5,4,1,1,1,0,0,0
35,SG8859,0,1,0,0,1,0,0,0,1,1,1,1,4.277777778,1,1,1,SG,1,1,0,0,0,0,0,1,0,0,regular,4,6,6,4,4,5,4,5,5,4,4,4.4,4,3,3,5,3.75,4,4,4,5,3,4,1,1,1,1,1,1
36,SG9099,0,0,0,0,1,0,0,0,1,0,1,0.833333333,2.944444444,1,1,1,SG,0,1,0,0,1,0,0,0,1,0,regular,2.7,4,4,4,2,3.5,3,4,4,2,2,3,4,2,2,1,2.25,4,3,3,4,1,3,0,1,1,1,1,1
37,SG1674,1,0,1,0,0,0,0,0,0,1,0,1,3.777777778,1,1,1,SG,0,0,0,0,0,1,0,1,0,0,regular,4,5,4,4,2,3.75,3,3,5,5,3,3.8,6,3,4,3,4,6,4,3,4,1,3.6,1,1,1,1,1,1
38,SG4452,0,0,0,0,0,1,0,0,1,1,0,0.833333333,3.611111111,1,1,1,SG,0,0,0,1,1,0,0,1,0,0,regular,4,5,4,4,2,3.75,5,3,3,3,4,3.6,4,3,3,3,3.25,5,4,3,4,3,3.8,1,1,1,1,1,0
39,SG5119,0,0,0,0,0,1,0,0,1,0,0,0.833333333,3.222222222,1,1,1,SG,0,0,0,0,0,0,1,0,1,0,regular,4,5,5,5,4,4.75,3,2,2,1,2,2,5,5,3,3,4,2,2,2,5,2,2.6,1,1,1,1,0,1
40,SG9676,0,0,0,0,0,0,1,0,0,1,0,0.5,4.222222222,1,1,1,SG,0,1,0,0,0,0,0,1,0,0,regular,4,6,5,4,3,4.5,3,5,5,3,4,4,4,5,5,4,4.5,5,3,3,5,4,4,1,1,1,0,0,0
41,SG2979,0,0,0,1,1,0,0,0,0,0,0,1,4.277777778,1,1,1,SG,0,0,0,0,1,1,1,0,1,1,regular,NA,5,5,4,4,4.5,5,5,5,3,5,4.6,5,3,2,4,3.5,5,5,3,5,4,4.4,1,1,1,1,1,1
42,SG4702,0,0,0,1,0,0,0,0,1,0,0,0.833333333,1.722222222,0,1,1,SG,1,0,0,0,0,0,0,0,1,0,regular,0,4,4,3,3,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1.6,0,1,1,1,1,1
43,SG6613,0,0,1,0,0,0,0,0,0,1,0,0.666666667,4,1,1,1,SG,0,0,0,0,0,0,1,0,0,1,regular,NA,5,6,4,5,5,4,4,5,3,4,4,4,4,4,2,3.5,5,3,3,4,3,3.6,0,0,1,1,1,1
44,SG0368,0,1,1,0,0,1,0,0,1,0,0,0.5,4.833333333,1,1,1,SG,0,0,1,0,0,0,0,1,0,0,regular,3.7,5,5,5,2,4.25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,1,1,0,0
45,SG4340,0,0,1,0,0,0,0,0,0,1,0,1,4.222222222,1,1,1,SG,1,0,0,0,0,1,1,0,0,0,regular,4,5,4,4,3,4,3,5,6,5,4,4.6,4,4,3,4,3.75,5,4,3,5,5,4.4,1,1,1,1,1,1
46,SG5085,0,0,0,1,0,0,0,0,0,0,0,0.666666667,3.888888889,0,1,1,SG,1,0,0,0,0,0,1,0,0,1,regular,NA,6,5,4,3,4.5,3,4,2,3,5,3.4,4,3,3,4,3.5,6,3,4,4,4,4.2,0,1,1,1,0,1
47,SG0744,0,1,0,0,0,1,0,0,1,0,0,1,4.333333333,1,1,1,SG,0,0,0,0,0,0,1,0,0,0,regular,4,5,5,4,4,4.5,5,5,4,3,4,4.2,5,5,4,4,4.5,4,4,3,5,5,4.2,1,1,1,1,1,1
48,SG0160,0,1,0,0,0,1,0,0,1,0,0,1,4.555555556,1,1,1,SG,0,0,0,0,0,0,0,0,0,0,regular,4,5,5,4,5,4.75,5,5,5,5,2,4.4,5,5,5,6,5.25,4,4,3,6,3,4,1,1,1,1,1,1
49,SG4653,0,0,0,0,0,1,0,0,1,0,0,1,5.055555556,1,1,1,SG,1,0,0,0,0,0,1,0,0,0,regular,4,6,6,6,3,5.25,3,5,5,5,4,4.4,5,6,6,5,5.5,6,5,4,6,5,5.2,1,1,1,1,1,1
50,SH3142,0,0,0,0,0,1,0,0,1,0,0,1,4,1,1,1,SH,1,1,0,0,0,0,0,0,1,0,regular,4,4,5,4,2,3.75,5,3,5,4,4,4.2,5,4,3,5,4.25,5,3,2,5,4,3.8,1,1,1,1,1,1
51,SH9046,0,0,1,0,0,0,0,0,0,1,0,0.666666667,3.777777778,1,1,1,SH,0,0,0,0,0,1,1,0,1,0,regular,3.7,5,5,4,2,4,2,3,3,3,3,2.8,4,4,4,5,4.25,5,4,3,5,4,4.2,0,1,1,1,1,0
52,SH7062,0,0,0,1,0,0,0,0,1,1,0,0.666666667,4.944444444,1,1,1,SH,1,0,0,0,0,0,0,1,0,0,regular,4,5,5,4,5,4.75,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,0,1,0
53,SH0378,0,1,1,0,0,0,0,0,0,1,0,0.666666667,3.944444444,1,0,1,SH,0,1,0,0,0,0,1,0,0,0,regular,2.7,6,6,4,3,4.75,2,2,3,4,4,3,4,4,4,4,4,5,4,3,5,4,4.2,0,1,1,1,0,1
54,SH7408,1,0,0,0,0,1,0,0,1,0,0,1,4.833333333,1,1,1,SH,0,0,0,0,0,0,0,1,0,0,regular,4,6,6,5,3,5,3,4,4,4,3,3.6,6,6,6,6,6,5,4,6,6,4,5,1,1,1,1,1,1
55,SH7070,0,1,0,0,0,0,0,0,1,1,0,0.833333333,4.944444444,1,1,1,SH,0,0,0,0,0,0,0,1,0,0,regular,4,6,5,4,3,4.5,6,5,5,5,4,5,5,5,4,4,4.5,5,5,6,6,6,5.6,1,0,1,1,1,1
56,SH0343,0,0,0,1,0,0,0,0,1,0,0,0.333333333,4.222222222,1,1,1,SH,1,1,0,0,0,0,0,0,0,0,regular,1,5,5,4,5,4.75,4,5,5,3,4,4.2,4,3,3,5,3.75,4,5,3,5,4,4.2,0,1,0,0,1,0
57,SH4815,0,1,0,0,0,1,0,0,1,0,0,0.666666667,3.888888889,1,1,1,SH,0,0,0,0,0,0,0,0,1,0,regular,3.3,6,5,4,3,4.5,4,4,5,4,2,3.8,2,3,2,3,2.5,5,4,5,5,4,4.6,1,0,1,1,0,1
58,SH7716,0,0,0,1,0,0,0,0,1,0,0,0.5,4.444444444,1,0,1,SH,1,0,0,0,1,0,0,0,0,0,regular,0,5,5,4,3,4.25,4,4,4,4,4,4,4,5,4,5,4.5,5,4,4,6,6,5,0,1,1,0,0,1
59,SH8257,0,0,1,0,0,1,0,1,1,0,0,0.833333333,4.166666667,1,1,1,SH,0,0,0,1,0,0,0,1,0,0,regular,3,5,4,4,3,4,4,4,4,1,4,3.4,5,5,4,5,4.75,4,4,4,6,5,4.6,1,1,1,1,0,1
60,SH0248,0,0,0,0,0,1,0,0,1,0,0,0.666666667,4.055555556,1,1,1,SH,1,1,0,0,0,0,0,0,0,0,regular,3.3,6,5,4,4,4.75,2,3,5,4,2,3.2,4,4,4,4,4,5,4,3,5,5,4.4,0,1,1,1,1,0
61,SH3115,1,0,1,0,0,0,0,0,1,1,1,0.5,3.888888889,0,1,1,SH,0,0,0,0,0,0,1,0,0,0,regular,0,5,5,5,5,5,2,4,4,3,2,3,4,2,3,4,3.25,5,4,4,5,4,4.4,0,0,1,1,0,1
62,SH1867,0,0,0,1,0,0,0,0,0,0,0,0.666666667,5.222222222,1,1,1,SH,0,1,0,0,0,0,0,1,0,0,regular,0,6,5,4,4,4.75,5,5,6,5,5,5.2,6,5,5,6,5.5,6,6,5,6,4,5.4,0,1,1,1,0,1
63,SH4820,0,0,0,0,0,1,0,0,1,1,0,0.833333333,4.166666667,1,1,1,SH,1,0,1,0,0,0,0,1,0,0,regular,4,5,5,5,2,4.25,4,4,5,5,5,4.6,3,3,3,4,3.25,5,5,4,4,4,4.4,1,1,1,1,0,1
64,SH5865,1,0,0,0,0,1,0,0,0,0,1,0.666666667,3.722222222,1,1,1,SH,0,0,0,0,0,0,1,0,0,0,regular,4,5,4,4,4,4.25,4,4,4,4,5,4.2,4,3,3,3,3.25,3,3,3,4,3,3.2,1,0,0,1,1,1
65,SH4162,0,1,0,0,0,1,0,0,0,1,0,1,5,1,1,1,SH,0,0,0,0,0,0,0,1,0,0,regular,1,6,4,4,6,5,4,6,6,4,6,5.2,5,4,3,5,4.25,6,5,5,6,5,5.4,1,1,1,1,1,1
66,SH2417,0,0,0,1,0,0,0,0,0,0,0,0.666666667,3.444444444,0,0,1,SH,0,0,0,0,0,0,0,0,0,0,regular,4,4,5,2,4,3.75,2,2,4,4,2,2.8,5,5,3,3,4,4,2,4,5,2,3.4,1,0,1,1,1,0
67,SH1835,0,0,0,0,0,1,0,0,0,0,0,0.666666667,3.722222222,1,1,1,SH,1,0,0,0,1,0,0,1,0,0,regular,0,5,5,4,3,4.25,5,4,4,4,4,4.2,4,4,3,3,3.5,5,1,3,5,1,3,0,1,1,1,0,1
68,SH8248,0,1,0,0,0,1,0,0,1,0,0,0.5,3,1,1,1,SH,1,0,0,0,0,0,0,0,0,0,regular,4,4,2,1,2,2.25,3,5,4,5,2,3.8,4,2,2,2,2.5,2,5,5,2,2,3.2,1,1,0,0,0,1
69,SH3959,0,0,1,0,0,0,0,0,0,1,0,0.833333333,3.833333333,1,1,1,SH,0,1,0,0,0,0,0,0,0,0,regular,4,5,4,4,3,4,4,4,4,3,4,3.8,4,3,3,4,3.5,4,4,3,5,4,4,1,1,1,0,1,1
70,SH3792,1,0,0,0,0,0,0,1,0,0,0,0.833333333,4.666666667,1,1,1,SH,0,1,0,1,1,1,1,0,0,0,regular,4,5,5,5,5,5,4,5,5,4,5,4.6,5,4,4,5,4.5,5,5,3,5,5,4.6,1,1,1,0,1,1
71,SH5853,0,1,0,0,1,0,0,0,0,1,0,0.833333333,4.222222222,1,1,1,SH,1,1,1,0,0,0,0,1,0,0,regular,4,2,1,2,2,1.75,4,4,4,5,5,4.4,5,4,5,5,4.75,6,6,5,5,6,5.6,1,1,1,1,0,1
72,SH7667,0,1,0,0,0,1,0,0,0,0,0,0.666666667,3.388888889,1,1,1,SH,0,0,0,0,0,0,0,1,0,0,regular,2.7,5,6,4,1,4,2,4,4,2,2,2.8,5,5,2,2,3.5,3,3,3,5,3,3.4,1,0,1,0,1,1
73,SH8118,0,0,1,0,0,0,0,0,0,1,1,0.833333333,5.277777778,1,1,1,SH,1,1,0,0,0,0,0,1,0,0,regular,4,6,6,4,5,5.25,5,5,6,6,5,5.4,6,5,4,5,5,6,5,5,6,5,5.4,0,1,1,1,1,1
74,SH5971,0,1,0,0,0,1,0,0,1,1,0,0.666666667,4.666666667,1,1,1,SH,0,0,0,0,0,0,1,0,0,0,regular,4,5,4,5,3,4.25,4,4,4,5,4,4.2,6,4,5,5,5,6,4,4,6,6,5.2,1,0,1,1,1,0
75,SH7870,0,0,0,0,0,1,0,0,0,0,0,0.5,4.055555556,1,1,1,SH,1,0,0,0,0,0,0,0,1,0,regular,4,5,5,4,3,4.25,4,4,4,4,4,4,5,5,4,4,4.5,4,4,2,5,3,3.6,0,0,1,1,0,1
76,SH9899,0,0,0,0,1,0,0,0,1,1,0,0.5,3.944444444,1,1,1,SH,0,0,0,0,0,0,0,0,1,0,regular,4,6,5,4,4,4.75,3,3,3,3,3,3,4,4,4,4,4,5,4,3,5,4,4.2,0,1,1,1,0,0
77,SH7053,0,0,0,0,0,1,0,0,1,0,0,1,4.111111111,1,1,1,SH,1,0,1,1,0,0,0,0,0,0,regular,4,4,5,4,2,3.75,4,4,4,2,5,3.8,5,4,5,5,4.75,5,4,3,6,3,4.2,1,1,1,1,1,1
78,SH0989,0,1,0,0,0,1,0,0,0,0,0,0.5,4,1,1,1,SH,1,1,0,0,1,0,1,0,0,0,regular,3.3,6,5,4,3,4.5,4,3,4,2,4,3.4,4,2,3,4,3.25,6,5,3,5,5,4.8,1,0,1,0,0,1
79,SH0321,0,1,0,1,0,0,0,0,0,0,0,1,4.055555556,1,1,1,SH,0,0,0,0,1,0,0,1,0,0,regular,3.7,4,4,3,4,3.75,5,4,5,2,1,3.4,4,6,5,6,5.25,4,3,4,6,3,4,1,1,1,1,1,1
80,SH2603,0,0,0,0,0,1,0,0,1,1,0,0.333333333,4.166666667,1,1,1,SH,0,0,0,0,0,1,1,0,0,0,regular,3,5,5,4,1,3.75,4,5,5,4,4,4.4,6,4,3,5,4.5,3,5,3,6,3,4,1,1,0,0,0,0
81,SH1815,0,0,0,1,0,0,0,0,1,1,0,1,3.777777778,0,1,1,SH,0,1,0,0,0,0,0,0,0,0,regular,3,6,6,6,3,5.25,3,3,3,1,3,2.6,5,4,4,4,4.25,3,3,4,4,3,3.4,1,1,1,1,1,1
82,SH7257,0,0,1,0,0,0,0,0,0,1,0,0.666666667,3.833333333,1,1,1,SH,1,1,0,0,0,0,1,0,0,0,regular,2,4,4,3,2,3.25,5,5,5,1,5,4.2,5,2,4,5,4,4,4,1,5,5,3.8,0,1,1,1,1,0
83,SH4308,0,0,1,0,0,0,0,0,0,1,0,0.5,4.111111111,1,1,1,SH,1,1,0,0,1,0,1,0,0,0,regular,3.7,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,5,4,3,5,5,4.4,0,1,0,1,1,0
84,SH3181,0,1,0,0,0,0,0,1,0,1,0,0.666666667,3.777777778,1,1,1,SH,0,0,1,1,0,0,0,0,0,0,regular,3,4,4,2,4,3.5,2,4,5,3,4,3.6,4,3,4,4,3.75,5,4,3,5,4,4.2,1,1,1,1,0,0
85,SH2261,0,0,0,0,0,1,0,0,1,0,0,0.166666667,2.5,1,1,1,SH,1,1,1,0,0,0,0,0,0,1,regular,NA,3,2,5,3,3.25,4,2,2,1,4,2.6,3,2,2,3,2.5,2,2,2,1,2,1.8,1,0,0,0,0,0
86,SH5693,0,1,0,0,0,1,0,0,1,1,1,1,5.333333333,1,1,1,SH,0,0,0,0,0,0,1,0,0,0,regular,3.7,6,6,5,4,5.25,6,5,5,5,5,5.2,5,5,5,5,5,6,6,5,6,6,5.8,1,1,1,1,1,1
87,SH7877,0,1,0,0,1,0,0,0,1,0,0,1,3.666666667,1,1,1,SH,0,0,0,0,0,0,1,0,1,0,regular,4,4,4,3,3,3.5,4,4,4,3,3,3.6,4,3,4,3,3.5,5,3,4,4,4,4,1,1,1,1,1,1
88,SH8331,0,0,0,0,0,1,0,0,1,1,0,0.333333333,4.333333333,1,1,1,SH,0,0,0,0,0,0,0,0,0,0,regular,1,4,5,4,4,4.25,5,4,4,4,4,4.2,5,5,5,4,4.75,4,4,4,5,4,4.2,0,0,1,1,0,0
89,SH7893,0,0,0,0,0,0,0,0,0,1,0,0.5,3.666666667,1,1,1,SH,1,1,1,0,1,0,1,1,0,0,regular,4,5,4,2,3,3.5,3,4,4,3,3,3.4,4,5,3,3,3.75,4,4,4,3,5,4,0,0,1,0,1,1
90,SH7119,1,0,0,1,0,1,0,0,0,0,0,0.833333333,4.166666667,1,1,1,SH,0,0,0,0,0,0,0,0,0,0,regular,4,5,5,4,4,4.5,4,4,4,4,5,4.2,5,4,5,4,4.5,3,3,3,5,4,3.6,1,1,1,1,0,1
91,SH8655,0,0,0,1,0,0,0,0,1,0,0,1,2.944444444,1,1,1,SH,0,0,0,0,1,0,0,1,0,0,regular,3,5,4,2,2,3.25,3,3,4,1,4,3,3,2,2,4,2.75,4,2,1,5,2,2.8,1,1,1,1,1,1
92,SH4638,1,0,0,0,1,1,0,0,1,1,0,0.333333333,4.944444444,1,1,1,SH,0,0,0,0,0,0,1,0,0,0,regular,3.7,6,6,4,2,4.5,6,3,2,2,4,3.4,6,6,6,6,6,6,6,6,6,6,6,0,0,1,0,0,1
